14
1-2,3-4,5-6,7-8,9-10,11-12,13-14
8-5,7-10,2-11,3-1,14-4,6-13,9-12
7-6,8-9,1-12,4-2,13-3,5-14,11-10
12-4,13-2,14-7,9-6,8-11,10-1,3-5
2-9,1-14,8-13,10-5,12-7,3-11,4-6
13-10,5-12,9-3,2-7,1-6,4-8,14-11
6-8,9-7,4-10,1-11,3-14,13-5,12-2
5-1,10-6,3-8,12-13,11-9,14-2,7-4
3-12,11-13,7-1,6-14,5-2,9-4,10-8
4-11,14-8,6-2,5-9,10-12,7-3,1-13
9-14,4-1,11-5,8-12,7-13,2-10,6-3
10-3,6-11,12-14,13-4,2-8,1-9,5-7
11-7,2-3,13-9,14-10,4-5,12-6,8-1
14-13,10-9,2-1,6-5,8-7,4-3,12-11
12-9,4-14,5-8,11-2,1-3,10-7,13-6
10-11,3-13,6-7,12-1,2-4,9-8,14-5
5-3,11-8,4-12,7-14,6-9,2-13,1-10
6-4,7-12,9-2,13-8,5-10,14-1,11-3
11-14,6-1,10-13,3-9,7-2,12-5,8-4
2-12,14-3,8-6,10-4,11-1,7-9,5-13
4-7,9-11,1-5,8-3,13-12,6-10,2-14
8-10,2-5,12-3,1-7,14-6,13-11,4-9
13-1,12-10,11-4,2-6,9-5,8-14,3-7
3-6,13-7,14-9,5-11,12-8,1-4,10-2
7-5,8-2,3-10,14-12,4-13,11-6,9-1
1-8,5-4,7-11,9-13,10-14,3-2,6-12
11-12,7-8,13-14,1-2,3-4,5-6,9-10
6-13,3-1,9-12,8-5,7-10,2-11,14-4
5-14,4-2,11-10,7-6,8-9,1-12,13-3
10-1,9-6,3-5,12-4,13-2,14-7,8-11
3-11,10-5,4-6,2-9,1-14,8-13,12-7
4-8,2-7,14-11,13-10,5-12,9-3,1-6
13-5,1-11,12-2,6-8,9-7,4-10,3-14
14-2,12-13,7-4,5-1,10-6,3-8,11-9
9-4,6-14,10-8,3-12,11-13,7-1,5-2
7-3,5-9,1-13,4-11,14-8,6-2,10-12
2-10,8-12,6-3,9-14,4-1,11-5,7-13
1-9,13-4,5-7,10-3,6-11,12-14,2-8
12-6,14-10,8-1,11-7,2-3,13-9,4-5
