36
1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19-20,21-22,23-24,25-26,27-28,29-30,31-32,33-34,35-36
8-32,10-26,24-16,21-2,35-3,33-18,27-23,5-22,12-19,25-17,15-7,6-13,4-20,30-14,1-28,34-36,11-29,31-9
6-24,11-33,1-29,23-13,18-12,3-10,21-7,30-28,35-9,31-36,14-27,8-2,34-32,15-22,16-5,20-25,26-4,19-17
28-21,35-20,22-13,15-29,26-31,19-32,6-30,7-24,33-25,4-12,5-2,27-16,17-10,23-1,8-14,11-9,36-18,3-34
36-5,16-34,17-30,32-24,6-11,4-29,26-8,12-27,10-2,7-35,13-33,20-1,31-22,3-21,15-9,14-19,25-28,23-18
17-35,15-28,18-9,20-31,5-29,16-30,25-32,3-11,1-6,8-23,26-34,19-36,14-21,4-33,10-12,13-7,22-27,2-24
13-16,18-32,28-8,27-6,19-33,26-35,15-2,14-1,3-31,9-34,23-30,21-29,11-36,5-7,24-22,4-17,10-20,12-25
19-9,30-22,35-12,36-25,16-1,5-28,20-34,10-33,29-24,13-2,4-32,17-31,7-27,26-11,3-18,23-21,14-15,8-6
31-12,5-14,3-19,17-34,28-24,1-22,4-36,26-18,16-8,6-21,11-20,9-25,15-23,10-32,35-33,27-2,30-7,29-13
25-3,1-7,31-33,4-9,22-8,14-24,11-17,35-32,13-28,27-29,36-10,12-34,30-2,18-20,26-19,6-15,5-23,16-21
34-22,36-24,25-14,11-16,13-32,8-20,29-10,19-23,26-21,3-15,18-6,4-28,9-5,2-35,7-31,30-12,17-1,27-33
14-4,17-8,7-34,28-10,20-21,36-13,16-18,2-31,27-32,33-30,35-29,11-22,12-1,6-19,25-23,5-3,9-24,15-26
23-10,12-21,2-11,14-35,17-15,27-9,19-22,34-29,36-30,32-1,28-31,18-7,8-33,16-25,6-4,24-26,3-13,20-5
27-26,2-19,21-32,30-3,25-7,23-31,12-5,36-8,34-14,28-11,9-1,33-15,18-29,17-24,20-13,16-10,35-6,22-4
11-7,9-13,4-23,18-22,27-36,21-17,28-35,6-25,20-15,5-26,16-19,10-14,3-24,31-29,2-34,33-1,8-12,30-32
20-30,29-25,36-15,1-26,4-2,34-6,24-33,21-9,11-23,14-18,8-3,5-32,28-19,12-13,17-27,22-35,31-16,7-10
32-15,31-6,20-27,5-33,23-34,2-25,3-1,17-13,4-7,10-22,12-24,26-30,16-35,9-8,21-36,28-18,29-19,11-14
2-18,23-35,6-10,12-15,30-9,7-19,14-31,24-20,5-17,16-4,22-25,3-27,26-13,1-36,11-32,29-8,21-33,34-28
3-36,4-1,16-28,10-30,14-26,24-8,7-29,31-19,9-12,11-13,33-23,34-21,27-15,22-6,5-35,32-20,18-25,17-2
4-34,33-3,30-31,29-28,24-13,12-14,2-16,25-10,6-26,15-8,32-36,1-35,22-9,11-27,23-20,21-5,7-17,18-19
12-17,13-18,33-22,34-27,29-20,31-5,8-21,23-26,19-1,36-7,10-11,16-9,32-28,35-30,14-2,25-24,6-3,4-15
16-14,24-10,26-3,8-4,36-28,30-1,33-9,11-34,23-29,21-31,7-12,13-19,5-25,20-2,18-15,17-6,27-35,32-22
7-6,19-15,9-2,25-11,21-35,32-23,22-3,27-4,14-20,24-5,30-18,28-17,33-16,34-10,36-29,1-31,13-8,26-12
35-25,32-2,15-21,6-23,11-19,9-7,30-24,28-14,18-4,17-3,27-5,22-20,1-8,36-26,13-10,12-16,34-31,33-29
9-23,21-11,19-25,2-7,32-6,35-15,17-20,18-5,24-27,22-14,3-28,30-4,29-12,13-31,34-1,36-33,16-26,10-8
5-1,20-36,10-18,16-17,8-27,22-26,31-25,29-2,15-13,12-6,34-35,32-33,24-11,14-9,4-21,3-23,19-30,28-7
10-27,22-16,8-5,26-20,1-18,17-36,34-15,33-6,31-35,29-32,25-13,2-12,19-4,7-3,30-11,9-28,24-21,14-23
33-20,34-5,29-17,31-18,12-22,13-27,10-19,16-7,8-11,26-9,1-21,36-23,6-14,24-15,32-3,35-4,28-2,25-30
22-29,27-31,12-20,13-5,33-17,18-34,1-11,9-36,21-10,23-16,19-8,7-26,2-3,25-4,28-6,15-30,32-14,24-35
18-8,26-17,27-1,22-36,10-5,20-16,35-13,32-12,25-34,2-33,31-15,29-6,21-30,28-23,19-24,7-14,4-11,9-3
26-28,8-30,14-36,24-1,3-16,10-4,23-12,13-21,7-33,34-19,29-9,31-11,35-18,32-17,27-25,2-22,15-5,6-20
30-13,28-12,34-24,33-14,31-4,29-3,32-36,8-35,2-36,1-25,6-16,15-10,23-17,21-18,22-7,19-27,20-9,5-11
21-19,7-23,11-35,9-32,15-25,6-2,18-27,22-17,30-5,20-28,24-4,14-3,13-34,33-12,31-8,26-29,1-10,36-16
24-31,14-29,13-4,3-12,34-30,28-33,36-6,1-15,32-16,35-10,2-26,25-8,20-7,19-5,9-17,18-11,23-22,21-27
15-11,6-9,32-7,35-19,2-23,25-21,5-4,20-3,28-22,30-27,17-14,24-18,10-31,29-16,33-26,8-34,12-36,13-1
