42
1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19-20,21-22,23-24,25-26,27-28,29-30,31-32,33-34,35-36,37-38,39-40,41-42
7-38,39-10,41-12,13-2,3-18,5-16,19-8,11-24,9-22,25-14,17-28,15-30,31-20,21-36,23-34,37-26,29-42,27-40,1-32,35-4,33-6
13-32,35-18,33-16,19-38,39-22,41-24,25-2,5-30,3-28,31-8,9-36,11-34,37-14,17-40,15-42,1-20,23-6,21-4,7-26,27-10,29-12
19-26,27-22,29-24,25-32,35-28,33-30,31-38,41-34,39-36,37-2,3-40,5-42,1-8,9-4,11-6,7-14,15-12,17-10,13-20,21-18,23-16
25-20,21-28,23-30,31-26,27-36,29-34,37-32,33-42,35-40,1-38,39-4,41-6,7-2,3-10,5-12,13-8,11-16,9-18,19-14,17-22,15-24
31-14,17-36,15-34,37-20,21-40,23-42,1-26,29-6,27-4,7-32,35-10,33-12,13-38,39-18,41-16,19-2,5-24,3-22,25-8,9-28,11-30
37-8,9-40,11-42,1-14,17-4,15-6,7-20,23-12,21-10,13-26,27-18,29-16,19-32,35-22,33-24,25-38,41-30,39-28,31-2,3-36,5-34
3-9,1-7,2-8,17-21,13-19,14-20,27-35,26-32,25-31,39-6,37-5,38-4,12-16,11-15,10-18,24-30,22-28,23-29,34-42,33-41,36-40
24-39,23-37,22-38,27-34,25-33,26-36,6-21,4-20,5-19,35-3,31-1,32-2,42-30,41-29,40-28,9-16,8-18,7-15,12-17,11-13,10-14
35-16,31-15,32-18,12-6,11-5,10-4,3-34,2-36,1-33,24-21,23-19,22-20,17-9,13-7,14-8,39-42,38-40,37-41,27-30,25-29,26-28
27-12,25-11,26-10,16-39,15-37,18-38,9-42,8-40,7-41,30-17,29-13,28-14,3-21,1-19,2-20,34-6,36-4,33-5,35-24,31-23,32-22
34-17,33-13,36-14,9-24,7-23,8-22,30-16,28-18,29-15,42-12,41-11,40-10,6-35,5-31,4-32,21-27,20-26,19-25,3-39,1-37,2-38
4-1,6-2,3-5,10-7,12-8,9-11,18-13,17-15,16-14,22-19,24-20,21-23,28-25,30-26,27-29,36-31,35-33,34-32,40-37,42-38,39-41
40-7,42-8,9-41,4-13,6-14,17-5,10-19,21-11,12-20,18-25,16-26,27-15,22-31,24-32,35-23,28-37,39-29,30-38,36-1,34-2,3-33
36-13,34-14,17-33,40-19,42-20,21-41,4-25,27-5,6-26,10-31,12-32,35-11,18-37,16-38,39-15,22-1,3-23,24-2,28-7,30-8,9-29
28-19,30-20,21-29,36-25,34-26,27-33,40-31,35-41,42-32,4-37,6-38,39-5,10-1,12-2,3-11,18-7,9-15,16-8,22-13,24-14,17-23
22-25,24-26,27-23,28-31,30-32,35-29,36-37,39-33,34-38,40-1,42-2,3-41,4-7,6-8,9-5,10-13,17-11,12-14,18-19,16-20,21-15
18-31,16-32,35-15,22-37,24-38,39-23,28-1,3-29,30-2,36-7,34-8,9-33,40-13,42-14,17-41,4-19,21-5,6-20,10-25,12-26,27-11
10-37,12-38,39-11,18-1,16-2,3-15,22-7,9-23,24-8,28-13,30-14,17-29,36-19,34-20,21-33,40-25,27-41,42-26,4-31,6-32,35-5
6-30,5-29,4-28,42-35,41-31,40-32,39-17,38-14,37-13,9-27,7-25,8-26,34-24,33-23,36-22,3-12,2-10,1-11,21-16,19-15,20-18
42-3,41-1,40-2,6-27,5-25,4-26,24-12,22-10,23-11,21-35,19-31,20-32,30-39,29-37,28-38,16-17,18-14,15-13,9-34,7-33,8-36
16-24,15-23,18-22,21-12,19-11,20-10,42-6,40-4,41-5,34-39,33-37,36-38,27-3,25-1,26-2,30-9,28-8,29-7,17-35,13-31,14-32
39-27,37-25,38-26,3-17,1-13,2-14,21-9,20-8,19-7,6-24,5-23,4-22,16-42,15-41,18-40,35-34,32-36,31-33,30-12,29-11,28-10
2-5,4-6,1-3,8-11,10-12,7-9,14-15,13-17,18-16,20-23,22-24,19-21,26-29,28-30,25-27,32-33,31-35,36-34,38-41,40-42,37-39
38-11,10-42,37-9,2-15,18-6,1-17,8-23,7-21,22-12,14-29,28-16,13-27,20-33,36-24,19-35,26-41,25-39,40-30,32-5,4-34,31-3
32-15,18-34,31-17,38-23,22-42,37-21,2-29,1-27,28-6,8-33,36-12,7-35,14-41,40-16,13-39,20-5,19-3,4-24,26-11,10-30,25-9
26-23,22-30,25-21,32-29,28-34,31-27,38-33,37-35,36-42,2-41,40-6,1-39,8-5,4-12,7-3,14-11,13-9,10-16,20-15,18-24,19-17
20-29,28-24,19-27,26-33,36-30,25-35,32-41,31-39,40-34,38-5,4-42,37-3,2-11,10-6,1-9,8-15,7-17,18-12,14-23,22-16,13-21
14-33,36-16,13-35,20-41,40-24,19-39,26-5,25-3,4-30,32-11,10-34,31-9,38-15,18-42,37-17,2-23,1-21,22-6,8-29,28-12,7-27
8-41,40-12,7-39,14-5,4-16,13-3,20-11,19-9,10-24,26-15,18-30,25-17,32-23,22-34,31-21,38-29,37-27,28-42,2-33,36-6,1-35
17-6,13-5,14-4,39-9,37-7,38-8,34-30,36-28,33-29,27-16,25-15,26-18,35-12,31-11,32-10,42-21,40-20,41-19,24-3,23-1,22-2
9-35,7-31,8-32,24-42,23-41,22-40,17-27,14-26,13-25,3-30,1-29,2-28,21-34,19-33,20-36,12-39,10-38,11-37,16-6,15-5,18-4
30-21,29-19,28-20,34-16,33-15,36-18,35-39,32-38,31-37,12-9,11-7,10-8,24-17,23-13,22-14,6-3,4-2,5-1,42-27,41-25,40-26
12-34,11-33,10-36,35-30,31-29,32-28,16-3,18-2,15-1,17-42,13-41,14-40,9-6,7-5,8-4,27-24,26-22,25-23,39-21,37-19,38-20
5-4,2-3,6-1,11-10,8-9,12-7,15-18,16-13,14-17,23-22,20-21,24-19,29-28,26-27,30-25,33-36,34-31,32-35,41-40,38-39,42-37
11-40,38-9,12-37,15-4,2-17,16-1,23-10,24-7,8-21,29-18,14-27,30-13,33-22,20-35,34-19,41-28,42-25,26-39,5-36,32-3,6-31
15-36,32-17,16-31,23-40,38-21,24-37,29-4,30-1,2-27,33-10,8-35,34-7,41-18,14-39,42-13,5-22,6-19,20-3,11-28,26-9,12-25
23-28,26-21,24-25,29-36,32-27,30-31,33-40,34-37,38-35,41-4,2-39,42-1,5-10,8-3,6-7,11-18,12-13,14-9,15-22,20-17,16-19
29-22,20-27,30-19,33-28,26-35,34-25,41-36,42-31,32-39,5-40,38-3,6-37,11-4,2-9,12-1,15-10,16-7,8-17,23-18,14-21,24-13
33-18,14-35,34-13,41-22,20-39,42-19,5-28,6-25,26-3,11-36,32-9,12-31,15-40,38-17,16-37,23-4,24-1,2-21,29-10,8-27,30-7
41-10,8-39,42-7,5-18,14-3,6-13,11-22,12-19,20-9,15-28,26-17,16-25,23-36,32-21,24-31,29-40,30-37,38-27,33-4,2-35,34-1
