44
1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19-20,21-22,23-24,25-26,27-28,29-30,31-32,33-34,35-36,37-38,39-40,41-42,43-44
3-43,6-2,8-4,5-10,12-7,9-13,11-16,18-14,15-20,17-21,19-24,22-25,23-27,30-26,28-32,33-29,36-31,34-37,40-35,38-41,39-44,1-42
39-8,42-10,12-43,13-2,16-4,18-5,7-20,21-9,11-24,25-14,15-27,17-30,19-32,22-33,36-23,37-26,28-40,29-41,44-31,34-1,3-35,38-6
38-10,39-12,42-13,16-43,18-2,20-4,5-21,7-24,25-9,27-11,14-30,32-15,17-33,36-19,22-37,23-40,41-26,44-28,1-29,3-31,6-34,8-35
33-35,13-38,16-39,18-42,43-20,2-21,4-24,25-5,7-27,9-30,32-11,14-12,36-15,17-37,19-40,22-41,23-44,1-26,28-3,29-6,31-8,10-34
18-29,20-31,34-21,35-24,25-38,39-27,30-42,32-43,2-33,36-4,5-37,7-40,41-9,44-11,14-1,3-15,17-6,8-19,22-10,12-23,13-26,28-16
28-20,29-21,31-24,25-34,35-27,30-38,39-32,42-33,36-43,37-2,4-40,41-5,7-44,1-9,3-11,14-6,8-15,10-17,19-12,22-13,16-23,18-26
26-21,28-24,29-25,31-27,30-34,35-32,38-33,39-36,42-37,40-43,2-41,4-44,1-5,7-3,6-9,8-11,14-10,12-15,13-17,19-16,22-18,23-20
25-23,27-26,28-30,29-32,31-33,36-34,37-35,38-40,41-39,44-42,1-43,3-2,4-6,8-5,10-7,12-9,13-11,14-16,18-15,20-17,21-19,22-24
22-27,23-30,32-26,28-33,29-36,31-37,34-40,41-35,44-38,1-39,3-42,6-43,8-2,4-10,12-5,7-13,16-9,18-11,14-20,15-21,24-17,19-25
30-19,32-22,23-33,36-26,28-37,40-29,31-41,44-34,35-1,3-38,6-39,8-42,43-10,2-12,13-4,5-16,18-7,9-20,11-21,14-24,15-25,27-17
11-37,14-40,15-41,17-44,1-19,22-3,6-23,8-26,28-10,12-29,31-13,16-34,18-35,38-20,21-39,42-24,25-43,2-27,30-4,5-32,7-33,36-9
40-9,11-41,14-44,1-15,17-3,6-19,22-8,10-23,12-26,28-13,29-16,18-31,20-34,35-21,24-38,25-39,42-27,43-30,32-2,33-4,5-36,37-7
44-5,1-7,3-9,11-6,8-14,10-15,12-17,13-19,16-22,18-23,26-20,28-21,24-29,25-31,34-27,35-30,38-32,39-33,42-36,37-43,40-2,4-41
16-31,34-18,20-35,21-38,24-39,42-25,27-43,2-30,32-4,5-33,36-7,37-9,40-11,41-14,44-15,17-1,19-3,6-22,8-23,10-26,28-12,13-29
42-6,8-43,10-2,4-12,5-13,16-7,18-9,11-20,14-21,15-24,25-17,19-27,30-22,23-32,33-26,36-28,37-29,31-40,34-41,35-44,1-38,39-3
41-7,9-44,1-11,14-3,6-15,8-17,19-10,22-12,13-23,26-16,18-28,20-29,31-21,24-34,35-25,27-38,39-30,42-32,43-33,36-2,4-37,40-5
17-32,33-19,22-36,23-37,40-26,41-28,29-44,1-31,34-3,35-6,8-38,39-10,12-42,43-13,2-16,18-4,5-20,21-7,9-24,25-11,14-27,30-15
34-13,16-35,18-38,20-39,42-21,43-24,25-2,4-27,30-5,7-32,9-33,11-36,14-37,40-15,17-41,19-44,1-22,3-23,6-26,28-8,10-29,31-12
36-14,37-15,17-40,41-19,22-44,23-1,3-26,28-6,8-29,31-10,34-12,35-13,38-16,18-39,42-20,21-43,24-2,25-4,27-5,30-7,9-32,11-33
15-33,17-36,37-19,40-22,23-41,44-26,1-28,29-3,31-6,8-34,10-35,12-38,39-13,42-16,43-18,2-20,4-21,24-5,7-25,27-9,11-30,14-32
4-1,5-3,6-7,8-9,10-11,14-33,36-38,37-39,40-42,43-41,44-2,24-26,28-25,29-27,30-31,32-34,35-12,15-13,17-16,18-19,20-22,21-23
12-25,21-20,44-32,24-16,27-30,13-41,23-5,9-7,22-17,14-26,11-4,1-8,33-18,3-36,40-10,6-37,31-28,19-35,2-34,43-15,42-39,29-38
37-24,44-27,21-18,12-30,20-16,3-6,43-4,35-22,9-11,38-19,17-23,40-33,32-1,10-41,8-36,13-25,15-39,7-14,29-42,31-5,34-28,26-2
13-30,18-16,27-1,37-20,44-12,25-10,17-31,14-11,23-35,2-7,43-9,36-32,21-40,6-8,41-33,24-3,34-5,22-38,26-28,4-39,29-15,42-19
8-18,36-13,41-37,10-1,3-40,32-20,14-29,31-42,39-2,23-15,38-34,25-16,6-12,21-30,27-24,44-33,9-19,28-43,4-22,26-35,17-7,5-11
14-42,7-11,43-31,2-28,39-29,17-35,41-6,33-10,1-36,13-3,40-44,34-19,9-4,26-38,23-22,15-5,32-18,27-12,21-8,24-20,37-16,25-30
20-3,12-1,40-16,44-13,37-18,24-8,9-39,23-38,43-14,42-22,35-31,21-41,27-36,33-25,32-6,30-10,29-4,11-2,15-19,17-34,26-5,7-28
35-38,43-5,11-22,9-17,14-28,19-39,32-27,36-44,24-30,16-12,20-18,29-23,34-31,15-42,4-2,26-7,40-41,13-6,33-37,21-10,25-1,3-8
6-16,30-32,33-20,27-25,21-24,37-36,15-11,19-17,4-7,29-35,22-5,10-18,44-8,13-40,1-3,41-12,43-42,26-9,38-39,23-28,2-31,34-14
32-40,10-6,25-3,33-36,41-8,27-18,2-19,34-15,29-28,4-31,42-26,30-37,13-24,16-44,20-12,1-21,22-14,5-39,23-9,7-38,35-11,17-43
10-44,40-37,36-12,3-18,13-1,33-30,35-34,43-2,38-31,11-28,39-14,27-6,16-41,32-24,25-21,20-8,26-17,23-42,5-7,9-29,19-4,15-22
21-36,25-8,24-10,32-41,33-6,1-16,42-7,5-29,26-15,39-17,28-19,13-20,3-30,12-18,37-44,40-27,11-38,4-34,35-43,2-22,23-14,9-31
27-41,24-33,30-8,6-21,32-25,12-40,28-22,26-4,5-19,34-9,7-15,44-3,10-20,37-1,18-13,16-36,2-23,17-29,31-14,11-42,38-43,35-39
29-26,31-23,4-15,22-7,34-42,38-2,21-12,40-8,27-16,41-25,33-32,43-39,5-28,14-17,9-35,11-19,44-24,37-3,10-13,1-18,30-20,6-36
5-17,35-14,39-28,26-31,11-43,29-22,8-37,12-13,3-32,10-36,24-6,42-4,15-38,9-2,7-19,34-23,30-1,20-44,25-40,16-33,27-21,41-18
31-11,15-17,7-29,43-23,2-35,28-42,44-18,20-1,37-13,33-27,12-3,9-22,26-19,5-4,39-34,38-14,6-25,41-24,16-30,40-36,8-10,32-21
19-22,4-28,9-14,15-35,38-5,34-11,33-1,6-18,20-41,30-44,16-21,31-7,42-17,39-23,26-43,29-2,10-37,36-25,3-27,8-12,32-13,24-40
23-4,19-29,26-34,39-11,15-9,7-43,24-36,30-41,10-12,32-8,37-25,5-35,2-14,31-22,38-42,28-17,3-16,33-21,20-6,13-27,18-40,44-1
2-15,26-39,35-42,19-14,4-17,5-9,16-13,24-25,21-44,20-40,41-1,38-28,11-23,34-7,31-29,43-22,27-8,32-10,36-18,6-30,33-3,12-37
9-28,2-42,38-17,34-29,7-23,15-31,20-25,27-37,33-8,24-18,30-36,26-11,22-39,19-43,5-14,4-35,21-13,40-1,12-32,41-3,44-6,16-10
7-39,22-34,2-5,38-4,19-31,26-23,40-30,3-21,18-25,6-1,27-10,15-14,29-43,28-35,11-17,9-42,20-36,16-8,41-44,32-37,12-24,33-13
43-34,38-9,19-23,42-5,26-222,4-14,10-3,16-32,6-40,21-37,13-8,2-17,35-7,11-29,15-28,39-31,12-33,30-18,24-1,44-25,36-41,20-27
