46
1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19-20,21-22,23-24,25-26,27-28,29-30,31-32,33-34,35-36,37-38,39-40,41-42,43-44,45-46
3-6,28-46,22-39,23-32,31-15,33-42,5-18,45-12,34-19,11-29,38-4,35-26,44-40,20-16,17-41,8-14,7-25,37-43,21-30,13-1,10-27,24-2,9-36
21-14,39-19,35-25,6-28,34-42,20-17,22-7,23-38,45-10,3-32,43-31,33-44,2-46,36-11,5-15,29-1,41-37,13-27,40-16,24-12,18-4,8-9,30-26
16-33,45-13,29-27,46-12,7-19,38-3,32-6,5-43,4-15,26-14,17-40,20-37,41-31,39-42,1-36,10-24,21-9,8-11,28-2,18-23,35-22,30-25,34-44
12-28,15-23,10-46,21-11,30-22,2-32,9-26,39-44,7-35,33-17,1-8,4-43,45-29,24-13,6-38,3-18,27-36,25-14,19-42,41-5,20-31,16-34,40-37
5-20,30-7,3-15,22-14,36-45,10-28,34-17,42-35,38-32,2-12,19-44,27-8,1-21,43-23,25-9,41-4,46-13,16-39,24-29,37-33,11-26,40-31,6-18
24-36,40-5,4-20,17-39,28-13,1-26,2-10,14-7,11-25,44-42,46-29,18-32,9-22,30-35,37-34,19-16,15-6,31-33,43-3,27-21,45-8,23-41,38-12
26-27,25-1,31-34,5-33,6-43,9-7,4-40,24-8,39-37,36-46,3-41,11-22,17-19,38-18,10-12,30-44,20-23,15-32,35-14,16-42,28-29,21-45,2-13
7-11,24-21,26-45,3-20,23-40,19-37,46-8,29-2,12-13,6-41,14-30,31-39,5-34,22-1,44-16,9-35,17-42,10-18,4-33,28-36,43-32,15-38,27-25
37-42,2-36,17-44,26-24,39-5,34-4,45-25,32-41,23-33,30-9,18-15,10-13,43-38,19-31,28-8,21-46,14-16,29-12,27-22,20-6,40-3,7-1,11-35
4-39,41-38,8-2,18-43,24-25,40-6,1-35,3-33,28-21,34-23,7-27,17-16,13-15,10-29,32-20,36-12,11-30,22-45,26-46,9-14,37-44,5-19,42-31
41-18,33-6,40-32,35-27,37-16,46-25,44-31,4-19,24-22,7-45,5-42,21-2,10-36,3-34,14-11,20-38,26-28,30-1,12-8,15-43,9-17,13-29,39-23
29-43,31-16,11-9,42-4,21-12,41-15,19-23,22-46,27-30,25-28,36-13,38-40,24-7,26-2,39-3,34-6,8-10,44-5,20-18,35-45,1-14,37-17,33-32
8-13,11-37,41-43,29-36,33-38,45-30,20-15,17-31,16-5,21-10,6-39,9-1,14-27,7-46,24-35,42-23,18-40,19-3,34-32,4-44,2-25,12-26,22-28
35-46,27-9,30-24,37-31,1-11,23-44,36-41,26-10,42-3,15-40,12-25,6-19,4-16,45-14,2-22,28-7,39-32,38-34,5-17,8-29,13-21,33-18,43-20
9-45,12-22,23-16,25-10,20-41,8-36,29-21,34-18,40-43,38-39,35-28,46-30,6-42,17-4,26-13,5-37,3-44,2-7,1-31,32-19,15-33,27-11,24-14
22-25,44-20,19-33,16-41,32-4,21-35,27-12,11-13,29-9,18-31,45-2,14-36,8-30,15-37,42-40,17-43,5-38,28-24,6-23,7-26,39-34,3-46,10-1
38-31,8-35,37-18,19-40,2-27,29-14,33-39,30-36,44-41,43-16,11-10,28-45,3-23,32-5,21-7,22-26,1-12,42-20,9-13,34-25,46-24,4-6,17-15
34-40,14-10,1-28,30-13,29-35,16-18,42-43,21-25,6-31,8-22,26-33,3-5,37-32,9-12,46-27,11-2,45-24,23-4,15-44,38-17,7-36,39-20,41-19
17-23,29-26,21-36,15-34,14-46,5-31,30-28,1-27,8-20,4-37,9-24,7-12,18-39,44-6,43-33,25-13,2-35,40-41,45-11,10-22,38-19,42-32,16-3
32-44,43-34,38-42,1-45,17-3,13-22,11-24,20-40,36-26,27-5,23-37,25-29,35-12,41-33,18-19,15-39,31-4,46-9,7-10,30-2,16-6,28-14,21-8
